id,sql,explain,graph,nl
1,"SELECT Title, Name FROM albums INNER JOIN artists USING (ArtistId);","The title is in the album table, and the name is in the artist table. An artist can have zero or many albums while an album belongs to one artist. returns the album titles and the corresponding artist names","{
    ""nodes"": [
        {""id"": 1, ""sql statement"": ""SELECT Title FROM albums;""},
        {""id"": 2, ""sql statement"": ""SELECT Name FROM artists;""},
        {""id"": 3, ""sql statement"": ""SELECT Title, Name FROM albums INNER JOIN artists USING (ArtistId);""}
    ],
    ""edges"": [
        {""source"": 1, ""target"": 3},
        {""source"": 2, ""target"": 3}
    ]
}",
2,"SELECT m.firstname || ' ' || m.lastname AS 'Manager',
       e.firstname || ' ' || e.lastname AS 'Direct report' 
FROM employees e
INNER JOIN employees m ON m.employeeid = e.reportsto
ORDER BY manager;","ReportsTo column specifies the reporting relationship between employees.

If an employee reports to a manager, the value of the ReportsTo column of the employee’s row is equal to the value of the EmployeeId column of the manager’s row. In case an employee does not report to anyone, the ReportsTo column is NULL.

To get the information on who is the direct report of whom, you use the following statement:","{
    ""nodes"": [
        {""id"": 1, ""sql statement"": ""SELECT m.firstname || ' ' || m.lastname AS 'Manager' FROM employees m;""},
        {""id"": 2, ""sql statement"": ""SELECT e.firstname || ' ' || e.lastname AS 'Direct report' FROM employees e;""},
        {""id"": 3, ""sql statement"": ""SELECT m.firstname || ' ' || m.lastname AS 'Manager', e.firstname || ' ' || e.lastname AS 'Direct report' FROM employees e INNER JOIN employees m ON m.employeeid = e.reportsto;""},
        {""id"": 4, ""sql statement"": ""SELECT m.firstname || ' ' || m.lastname AS 'Manager', e.firstname || ' ' || e.lastname AS 'Direct report' FROM employees e INNER JOIN employees m ON m.employeeid = e.reportsto ORDER BY manager;""}
    ],
    ""edges"": [
        {""source"": 1, ""target"": 3},
        {""source"": 2, ""target"": 3},
        {""source"": 3, ""target"": 4}
    ]
}",
3,"SELECT DISTINCT
 e1.city,
 e1.firstName || ' ' || e1.lastname AS fullname
FROM
 employees e1
INNER JOIN employees e2 ON e2.city = e1.city 
   AND (e1.firstname <> e2.firstname AND e1.lastname <> e2.lastname)
ORDER BY
 e1.city;",use the self-join technique to find the employees located in the same city,,
4,"SELECT trackid,
       name,
       albumid
FROM tracks
WHERE albumid = (
   SELECT albumid
   FROM albums
   WHERE title = 'Let There Be Rock'
);",returns all the tracks in the album with the title  Let There Be Rock,,
5,"SELECT customerid,
       firstname,
       lastname
  FROM customers
 WHERE supportrepid IN (
           SELECT employeeid
             FROM employees
            WHERE country = 'Canada'
       );
", returns the customers whose sales representatives are in Canada,,
6,"SELECT albumid,
       title
  FROM albums
 WHERE 10000000 > (
                      SELECT sum(bytes) 
                        FROM tracks
                       WHERE tracks.AlbumId = albums.AlbumId
                  )
 ORDER BY title;",The following query uses a correlated subquery to return the albums whose size is less than 10MB.,,
7,"SELECT albumid,
       title,
       (
           SELECT count(trackid) 
             FROM tracks
            WHERE tracks.AlbumId = albums.AlbumId
       )
       tracks_count
  FROM albums
 ORDER BY tracks_count DESC;",uses a correlated subquery in the SELECT clause to return the number of tracks in an album.,,
8,"SELECT
    CustomerId,
    FirstName,
    LastName,
    Company
FROM
    Customers c
WHERE
    EXISTS (
        SELECT 
            1 
        FROM 
            Invoices
        WHERE 
            CustomerId = c.CustomerId
    )
ORDER BY
    FirstName,
    LastName; 
",The following statement finds customers who have invoices,,
9,"WITH top_tracks AS (
    SELECT trackid, name
    FROM tracks
    ORDER BY trackid
    LIMIT 5
)
SELECT * FROM top_tracks;",The following example uses a CTE to retrieve the top 5 tracks from the tracks table:,,
10,"WITH customer_sales AS (
    SELECT c.customerid,
           c.firstname || ' ' || c.lastname AS customer_name,
           ROUND(SUM(ii.unitprice * ii.quantity),2) AS total_sales
    FROM customers c
    INNER JOIN invoices i ON c.customerid = i.customerid
    INNER JOIN invoice_items ii ON i.invoiceid = ii.invoiceid
    GROUP BY c.customerid
)
SELECT customer_name, total_sales 
FROM customer_sales
ORDER BY total_sales DESC, customer_name
LIMIT 5;",The following example uses a CTE to find the top 5 customers by total sales from the invoices and invoice_items tables:,,
11,"SELECT customerid,
       firstname,
       lastname,
       CASE country 
           WHEN 'USA' 
               THEN 'Domestic' 
           ELSE 'Foreign' 
       END CustomerGroup
FROM 
    customers
ORDER BY 
    LastName,
    FirstName;","Suppose, you have to make a report of the customer groups with the logic that if a customer locates in the USA, this customer belongs to the domestic group, otherwise the customer belongs to the foreign group.

To make this report, you use the simple CASE expression in the SELECT statement as follows:",,
12,"INSERT INTO artists_backup 
SELECT ArtistId, Name
FROM artists;","To insert data into the artists_backup table with the data from the artists table, you use the INSERT INTO SELECT statement as follows:",,
