id,sql,question,evident
1,"SELECT Title, Name FROM albums INNER JOIN artists USING (ArtistId);",retrieve the album titles and the corresponding artist names ,
2,"SELECT m.firstname || ' ' || m.lastname AS 'Manager',
       e.firstname || ' ' || e.lastname AS 'Direct report' 
FROM employees e
INNER JOIN employees m ON m.employeeid = e.reportsto
ORDER BY manager;","get the information on who is the direct report of whom, return fullname of manager and direct report, sorted by fullname of manager","If an employee reports to a manager, the value of the ReportsTo column of the employee¡¯s row is equal to the value of the EmployeeId column of the manager¡¯s row. In case an employee does not report to anyone, the ReportsTo column is NULL. Full name refers to firstname || ' ' || lastname"
3,"SELECT DISTINCT
 e1.city,
 e1.firstName || ' ' || e1.lastname AS fullname
FROM
 employees e1
INNER JOIN employees e2 ON e2.city = e1.city 
   AND (e1.firstname <> e2.firstname AND e1.lastname <> e2.lastname)
ORDER BY
 e1.city;","find the employees located in the same city, return city and fullname, sorted by city.","Full name refers to firstname || ' ' || lastname, there aren't employees who have the same first name and last name."
4,"SELECT trackid,
       name,
       albumid
FROM tracks
WHERE albumid = (
   SELECT albumid
   FROM albums
   WHERE title = 'Let There Be Rock'
);","Retrieve the trackid, name, and albumid for all tracks in the album titled 'Let There Be Rock'.",
5,"SELECT customerid,
       firstname,
       lastname
  FROM customers
 WHERE supportrepid IN (
           SELECT employeeid
             FROM employees
            WHERE country = 'Canada'
       );
","Retrieve the customerid, firstname, and lastname for customers whose sales representatives are in Canada.",
6,"SELECT albumid,
       title
  FROM albums
 WHERE 10000000 > (
                      SELECT sum(bytes) 
                        FROM tracks
                       WHERE tracks.AlbumId = albums.AlbumId
                  )
 ORDER BY title;","Which albums have a total track size less than 10000000 bytes? List the album ID and title, sorted by title.",album ID refers to albumid
7,"SELECT albumid,
       title,
       (
           SELECT count(trackid) 
             FROM tracks
            WHERE tracks.AlbumId = albums.AlbumId
       )
       tracks_count
  FROM albums
 ORDER BY tracks_count DESC;","Retrieve the number of tracks in an album. List the album ID, title, and the number of tracks, sorted by the number of tracks in descending order.",album ID refers to albumid
8,"SELECT
    CustomerId,
    FirstName,
    LastName,
    Company
FROM
    Customers c
WHERE
    EXISTS (
        SELECT 
            1 
        FROM 
            Invoices
        WHERE 
            CustomerId = c.CustomerId
    )
ORDER BY
    FirstName,
    LastName; 
","Which customers have made at least one purchase? List their customer ID, first name, last name, and company, sorted by first and last name.",
9,"WITH top_tracks AS (
    SELECT trackid, name
    FROM tracks
    ORDER BY trackid
    LIMIT 5
)
SELECT * FROM top_tracks;",What are the first five tracks based on their track ID? List the track ID and name.,based on their track ID refers to ORDER BY trackid
10,"WITH customer_sales AS (
    SELECT c.customerid,
           c.firstname || ' ' || c.lastname AS customer_name,
           ROUND(SUM(ii.unitprice * ii.quantity),2) AS total_sales
    FROM customers c
    INNER JOIN invoices i ON c.customerid = i.customerid
    INNER JOIN invoice_items ii ON i.invoiceid = ii.invoiceid
    GROUP BY c.customerid
)
SELECT customer_name, total_sales 
FROM customer_sales
ORDER BY total_sales DESC, customer_name
LIMIT 5;",Who are the top five customers with the highest total sales? List their full name and total sales amount.,full name refers to firstname || ' ' || lastname; total_sales retains two decimal places
11,"SELECT customerid,
       firstname,
       lastname,
       CASE country 
           WHEN 'USA' 
               THEN 'Domestic' 
           ELSE 'Foreign' 
       END CustomerGroup
FROM 
    customers
ORDER BY 
    LastName,
    FirstName;","Categorize customers categorized based on their country. Assign ""Domestic"" to those in the USA, and ""Foreign"" to others.List their ID, first name, last name, and customer group, sorted by last and first name.",
12,"INSERT INTO artists_backup 
SELECT ArtistId, Name
FROM artists;","To insert data into the artists_backup table with the data from the artists table, include their ID and name.",
13,"UPDATE employees
SET email = LOWER(
 firstname || ""."" || lastname || ""@chinookcorp.com""
)
ORDER BY
 firstname
LIMIT 1;",Update the email of the first employee sorted by first name,"The new email is a combination of the first name, a dot (.), the last name, and the suffix @chinookcorp.com, using all lowercase letters."
14,UPDATE tracks SET UnitPrice = ( SELECT AVG(UnitPrice) FROM tracks AS t2 WHERE t2.GenreId = tracks.GenreId ) WHERE GenreId IS NOT NULL;,Update the UnitPrice of each track to be the average UnitPrice of all tracks in the same genre.,
